iter	RMSE
0	588.5370872
1	577.4960501
2	568.0835774
3	556.911172
4	547.1765638
5	537.0434877
6	528.4520034
7	518.1061489
8	509.6738771
9	501.5379383
10	493.9546898
11	485.9287111
12	479.5883611
13	472.8634554
14	467.7011105
15	459.1013085
16	453.1524106
17	447.2643944
18	441.8275474
19	436.8870777
20	431.2789039
21	425.9158659
22	421.8637427
23	416.5869516
24	412.7909565
25	408.2308172
26	404.4537221
27	400.3524662
28	396.7844978
29	393.4083323
30	390.1415123
31	386.9971082
32	383.3071055
33	380.2465308
34	376.8772189
35	374.0633375
36	370.9805211
37	368.3541577
38	365.8344197
39	363.1857617
40	360.7220497
41	358.9590223
42	356.11291
43	353.9221775
44	351.6821316
45	349.8014202
46	347.7363896
47	345.2626574
48	343.1073121
49	341.181178
50	339.4565832
51	336.9719836
52	335.6272962
53	333.8539764
54	332.2090767
55	330.6421019
56	328.7541099
57	326.9624368
58	325.2154765
59	323.4608566
60	321.8587065
61	320.5972787
62	318.8010226
63	317.5540306
64	316.47359
65	315.0246689
66	313.7530029
67	312.5506564
68	311.018742
69	309.4950575
70	308.2188542
71	306.9564433
72	305.6506326
73	304.4094696
74	303.1718534
75	301.8367009
76	301.0630894
77	300.0880462
78	299.3562455
79	298.1471126
80	296.960688
81	295.9327606
82	294.9695099
83	294.2570781
84	293.1537228
85	292.0043913
86	291.0395813
87	289.7179578
88	288.8464643
89	287.8335679
90	286.9687583
91	285.9852266
92	285.3671624
93	284.591396
94	283.7430564
95	283.0760445
96	282.3450548
97	281.626416
98	280.76637
99	280.1325967
100	279.3318723
101	278.5232153
102	277.6341519
103	276.7643976
104	275.7577958
105	274.951621
106	274.3407928
107	273.6448775
108	272.8082659
109	271.766572
110	270.6965771
111	269.6125141
112	268.862076
113	268.208859
114	267.5990705
115	266.8661625
116	266.0276841
117	265.120259
118	264.4220094
119	263.8230082
120	262.9288664
121	262.3484538
122	261.9439384
123	261.0452246
124	260.3321085
125	259.7387503
126	259.2893798
127	258.5096945
128	258.0921299
129	257.3521913
130	256.5762632
131	256.1245193
132	255.3569905
133	254.4306104
134	253.6792532
135	253.0474332
136	252.2003477
137	251.3816053
138	250.900088
139	249.773916
140	249.0449443
141	248.4503986
142	247.5849716
143	247.3115032
144	246.7308769
145	246.049108
146	245.1875333
147	244.619773
148	244.3372776
149	243.8207272
150	243.2804313
151	242.2608484
152	241.3559742
153	241.0626041
154	240.137902
155	239.4123745
156	238.7792111
157	238.5267305
158	237.6357541
159	236.99677
160	236.5961935
161	235.768848
162	234.8873483
163	234.0479819
164	233.2251406
165	232.5416831
166	231.7890667
167	231.2147753
168	230.9317212
169	230.3651244
170	229.7856643
171	229.3330611
172	228.4847515
173	227.8350135
174	227.4661894
175	226.5100287
176	225.9413324
177	225.4362994
178	224.8477423
179	224.3595789
180	223.9087203
181	223.4693093
182	223.2192395
183	222.7621976
184	222.1320665
185	221.765928
186	221.3039502
187	220.5188374
188	220.0333448
189	219.5274019
190	218.9845875
191	218.1747204
192	217.3160449
193	216.9075925
194	216.4483227
195	215.9756532
196	215.614707
197	214.9244793
198	214.2200242
199	213.8617676
200	213.6474721
201	213.0351644
202	212.4037956
203	212.1243456
204	211.5463035
205	211.1057536
206	210.2289097
207	209.5928068
208	208.8746243
209	208.5030731
210	208.0916989
211	207.6303889
212	207.0012995
213	206.2250079
214	205.5452269
215	205.2746496
216	204.8561512
217	204.2258469
218	203.7497902
219	203.3582891
220	202.9368063
221	202.559558
222	201.9855669
223	201.56776
224	201.2510366
225	201.1614794
226	200.5253844
