feature,importance
pctKids2Par,7.05595696478984
pctKidsBornNevrMarr,6.6590079234190585
pct2Par,5.034360240247381
pctBlack,2.8977288895829427
kidsBornNevrMarr,2.8243282261829994
pctPopDenseHous,2.6188614606982306
State,2.4828214325062854
pctWhite,2.3589663603308555
persHomeless,2.0979272494639636
pctWdiv,1.7919923811343546
pctFemDivorc,1.791562321927809
blackPerCap,1.5669285023618247
pct12-17w2Par,1.5594880804373148
houseVacant,1.4000675843569275
otherPerCap,1.395582548157239
pctMaleDivorc,1.3330373794540507
pctHisp,1.1948388771402885
asianPerCap,1.1676601320276865
pctKids-4w2Par,1.147317929202465
pctAllDivorc,1.146998257593868
pctHousWOplumb,1.1306880143862565
pctLargHous,1.1146787616347613
pctWwage,1.1052391366365433
pctHousOccup,1.1045657977815595
medYrHousBuilt,1.0425986057602112
pctMaleNevMar,1.0007218913861344
pctPersOwnOccup,0.9655864923090381
medOwnCostpct,0.9654381126886817
pctVacantBoarded,0.9643490627907625
pctPoverty,0.9158345071886399
persEmergShelt,0.9045165557217429
persPoverty,0.9020147479897098
pctSameState-5,0.8992222039767489
pctBornStateResid,0.8873267463995701
pctLowEdu,0.8851778912661812
pctHousWOphone,0.865019568476683
pctNotHSgrad,0.8608931516176633
pctFgnImmig-3,0.8481021555680167
pctSmallHousUnits,0.8436981634923076
hispPerCap,0.8362115945615822
pctFgnImmig-5,0.8025661661449992
popDensity,0.7794921280656755
pctUnemploy,0.7764279333465636
ownHousQrange,0.7650929032779016
pct16-24,0.7510423839968814
pctLargHousFam,0.7476190055301172
pctImmig-8,0.7475816255825144
NAperCap,0.7363651330536094
pctFgnImmig-8,0.7152344660598753
pctSameHouse-5,0.6995359345333695
pctRetire,0.6820439453473541
pctEmployProfServ,0.6650763634586494
pctEmployMfg,0.6629165731305192
landArea,0.6473591643351975
pctVacant6up,0.6207080466578027
medIncome,0.6165557727598117
ownHousUperQ,0.6131008395085495
pct12-29,0.6076343318996279
pctUrban,0.6023629254584367
perCapInc,0.5959951462573551
pctAsian,0.5930932047660635
pctWorkMom-6,0.590453199606937
pctFgnImmig-10,0.5729779793137532
pctCollGrad,0.553561308266124
persUrban,0.5465270419631605
perHoush,0.5358386525720957
medRentpctHousInc,0.49556044638830954
pct65up,0.48791237751242095
pctSpeakOnlyEng,0.46576322108105966
pctPubAsst,0.4633073399568895
pctWfarm,0.46003372172509094
pctSameCounty-5,0.458987728409166
whitePerCap,0.4577139874683963
pctEmploy,0.45130583094675986
pctOfficDrugUnit,0.44837730240509904
ownHousLowQ,0.4434610189719386
rentLowQ,0.4410346096809285
pctHousOwnerOccup,0.4303244817364679
pctNotSpeakEng,0.4289694878114635
pctWsocsec,0.4288135703431326
pop,0.42689717714372194
pctOccupManu,0.4241235873875285
persPerFam,0.4053944565196725
rentMed,0.39637426721036473
ownHousMed,0.3959713146531231
medGrossRent,0.384143486604318
pctImmig-10,0.38264556157049695
numForeignBorn,0.37535158019687115
pctWorkMom-18,0.36143448433247255
rentQrange,0.35940642474242407
rentUpperQ,0.3568878639014423
pct12-21,0.3563673431164771
medOwnCostPctWO,0.3538265264637404
pctImmig-3,0.3408258413908285
medFamIncome,0.32958235782596407
persPerOwnOccup,0.3226570458050681
persPerRenterOccup,0.32129327926783435
pctUsePubTrans,0.3208818830206216
pctOccupMgmt,0.3094034474599122
persPerOccupHous,0.29671366570873947
pctForeignBorn,0.23831194989006607
pctImmig-5,0.21923401432465517
medNumBedrm,0.16622923948538598
