name,imputer,scaler,is_tuned,best_params,cv_rmse,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2,source_file
CatBoost (baseline),median,none,False,"{'depth': 8, 'learning_rate': 0.05, 'l2_leaf_reg': 3.0, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'best_iteration': 602}",,391.3907464743819,238.01741348475744,0.6691969763659799,351.77534497351746,226.84172512896504,0.6444259811482287,results_catboost.csv
CatBoost (tuned),median,none,True,"{'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 3.0, 'cv_folds': 5, 'cv_rmse_std': 48.729790783020775, 'cv_mae': 226.29241496331824, 'cv_r2': 0.6578415700201026, 'best_iteration': 190}",347.9425811103779,398.19849890776527,249.0264884393916,0.6575890848190803,364.3472402277714,238.36018056652333,0.6185565219506036,results_catboost_tuned.csv
"ElasticNet(a=0.01,l1=0.5)",mice,standard,False,,370.5414691528828,398.3776566918264,260.8985315605412,0.65728089992488,354.50011911276005,233.5783979495816,0.6388962520835868,results_linear_baselines.csv
"ElasticNet(a=0.01,l1=0.5)",median,standard,False,,370.527071590023,398.39017374244287,260.90271900255,0.6572593630758916,354.5340436816797,233.6015304711531,0.638827135744944,results_linear_baselines.csv
"ElasticNet(a=0.01,l1=0.5)",knn,standard,False,,370.49746458877456,398.4110314317281,260.9096940781321,0.6572234738129605,354.586404151978,233.63637424728577,0.6387204459765173,results_linear_baselines.csv
Ridge(alpha=1),mice,standard,False,,366.4353205959805,400.5290631088733,264.50730192942314,0.653569250944928,360.57042988123806,237.05284111715716,0.6264235932871388,results_linear_baselines.csv
Ridge(alpha=1),median,standard,False,,366.41717882401554,400.54293468469416,264.51996144362533,0.6535452545658372,360.59893092072434,237.06554885386709,0.6263645327772283,results_linear_baselines.csv
Ridge(alpha=1),knn,standard,False,,366.3782038777974,400.5655994860372,264.5394036700554,0.65350604503566,360.6429146936881,237.0847875951744,0.6262733794297933,results_linear_baselines.csv
"ElasticNet(a=0.01,l1=0.5)",mice,robust,False,,370.4148644932367,401.028626181894,262.1269754395997,0.6527045349816132,361.7632330920379,235.2838458961424,0.6239478484650871,results_linear_baselines.csv
"ElasticNet(a=0.01,l1=0.5)",median,robust,False,,370.4002306972062,401.042323479692,262.133785086849,0.6526808105373392,361.7966029587778,235.3076582261321,0.623878469446981,results_linear_baselines.csv
"ElasticNet(a=0.01,l1=0.5)",knn,robust,False,,370.36988244691327,401.0650397013859,262.14466004642185,0.6526414630535716,361.8480269503068,235.34434051808964,0.6237715417157208,results_linear_baselines.csv
Ridge(alpha=1),mice,robust,False,,367.0439968476237,401.641678065965,264.6669659063458,0.6516419032243781,362.8649228377818,237.5854518105936,0.6216539523962967,results_linear_baselines.csv
Ridge(alpha=1),median,robust,False,,367.0254399789963,401.65590908132594,264.6791923523672,0.6516172166566028,362.8936490246451,237.5964101549964,0.6215940465262157,results_linear_baselines.csv
Ridge(alpha=1),knn,robust,False,,366.98578261240857,401.679159063056,264.69857925019943,0.6515768829899138,362.9379946314129,237.61438818344567,0.6215015584545522,results_linear_baselines.csv
Lasso (tuned),mice,standard,True,{'model__alpha': np.float64(0.0610540229658533)},364.2933610698069,402.13608940877816,266.6776427300435,0.6507837343107244,364.2413435061032,240.35267355375868,0.618778221138689,results_linear_baselines.csv
Ridge(alpha=1),mice,none,False,,366.6200037704389,402.20407674216,265.1321694012557,0.650665643493693,365.4365307979301,239.99650297373887,0.6162723059445159,results_linear_baselines.csv
Ridge(alpha=1),median,none,False,,366.6017935784071,402.2188248971845,265.1446127563784,0.6506400240034821,365.4660943885596,240.01050951293115,0.6162102167641499,results_linear_baselines.csv
Ridge(alpha=1),knn,none,False,,366.561363440839,402.242879053228,265.1637651171497,0.6505982367466976,365.51174537187313,240.03174005584768,0.6161143311238155,results_linear_baselines.csv
ElasticNet (tuned),mice,standard,True,"{'model__alpha': np.float64(0.001), 'model__l1_ratio': 0.9}",364.3554493828181,402.8178784696582,267.3236495474092,0.6495985949075269,366.1515288392488,240.94015627656808,0.6147692654344183,results_linear_baselines.csv
Ridge (tuned),mice,standard,True,{'model__alpha': np.float64(0.0517947467923121)},364.39635606444926,403.3091634918305,267.81179903199705,0.6487433600816871,367.2561374766646,241.6862743442592,0.6124414255482238,results_linear_baselines.csv
Lasso(alpha=0.01),mice,standard,False,,364.5730704161764,403.4724636933455,267.89278826844713,0.6484588543085131,367.5736665598702,241.96779795385373,0.6117709707593364,results_linear_baselines.csv
Lasso(alpha=0.01),median,standard,False,,364.5531061818489,403.4864441548624,267.9069270004136,0.6484344918399465,367.60269422252986,241.9803747877657,0.6117096506632689,results_linear_baselines.csv
Lasso(alpha=0.01),knn,standard,False,,364.5094091090294,403.5091045111888,267.9283818377663,0.6483950019214622,367.6473963229409,241.9994406408916,0.611615209301303,results_linear_baselines.csv
Lasso(alpha=0.01),mice,robust,False,,364.6600184787271,403.56203509356726,267.815328793652,0.64830275181984,367.7248011396059,241.8944560944229,0.6114516503121713,results_linear_baselines.csv
Lasso(alpha=0.01),median,robust,False,,364.6401646913506,403.5760463526976,267.82908875453006,0.6482783302618446,367.7538447368471,241.9080004234185,0.6113902713277182,results_linear_baselines.csv
Lasso(alpha=0.01),knn,robust,False,,364.5964183211459,403.5987534554538,267.8499850065628,0.6482387500892851,367.7985720726392,241.9284560280812,0.6112957377962859,results_linear_baselines.csv
OLS,mice,robust,False,,364.7508677262959,403.8053756866065,268.2046996865753,0.6478784898141959,368.3306126993261,242.32057975811023,0.6101703607373987,results_linear_baselines.csv
OLS,mice,standard,False,,364.7508677262976,403.80537568660793,268.20469968657613,0.6478784898141935,368.3306126993209,242.32057975810952,0.6101703607374096,results_linear_baselines.csv
OLS,mice,none,False,,364.7508677269575,403.80537568661504,268.2046996866972,0.6478784898141811,368.3306126998084,242.3205797583419,0.6101703607363778,results_linear_baselines.csv
OLS,median,none,False,,364.7309965958208,403.819539067006,268.2185462767071,0.6478537882195226,368.3597773726418,242.3326546829265,0.6101086243310366,results_linear_baselines.csv
OLS,median,robust,False,,364.7309965951787,403.819539067091,268.2185462768426,0.6478537882193742,368.3597773716152,242.33265468295272,0.6101086243332101,results_linear_baselines.csv
OLS,median,standard,False,,364.7309965951802,403.8195390670912,268.21854627684297,0.6478537882193739,368.3597773716133,242.33265468295255,0.610108624333214,results_linear_baselines.csv
